ip,avg_download_speed,avg_upload_speed,avg_download_latency,avg_upload_latency,avg_download_jitter,avg_upload_jitter,download_speed_1,upload_speed_1,download_latency_1,upload_latency_1
185.18.250.0,12.28820755864418,-1,253,-1,-1,-1,12.28820755864418,-1,253,-1
185.18.250.1,11.503161377894756,-1,279,-1,-1,-1,11.503161377894756,-1,279,-1
185.18.250.2,15.123255286786726,-1,212,-1,-1,-1,15.123255286786726,-1,212,-1
185.18.250.4,13.958126284164358,-1,298,-1,-1,-1,13.958126284164358,-1,298,-1
185.18.250.5,11.402792646613594,-1,305,-1,-1,-1,11.402792646613594,-1,305,-1
185.18.250.6,10.866386061314934,-1,309,-1,-1,-1,10.866386061314934,-1,309,-1
185.18.250.7,8.714915072810268,-1,243,-1,-1,-1,8.714915072810268,-1,243,-1
185.18.250.8,10.66962983621103,-1,205,-1,-1,-1,10.66962983621103,-1,205,-1
185.18.250.9,13.123845911507457,-1,204,-1,-1,-1,13.123845911507457,-1,204,-1
185.18.250.10,10.944363697810871,-1,200,-1,-1,-1,10.944363697810871,-1,200,-1
185.18.250.11,15.060106863052622,-1,229,-1,-1,-1,15.060106863052622,-1,229,-1
185.18.250.12,18.119891804369527,-1,189,-1,-1,-1,18.119891804369527,-1,189,-1
185.18.250.13,12.905789479037859,-1,188,-1,-1,-1,12.905789479037859,-1,188,-1
185.18.250.14,13.836785942917187,-1,165,-1,-1,-1,13.836785942917187,-1,165,-1
185.18.250.15,13.322985592424404,-1,173,-1,-1,-1,13.322985592424404,-1,173,-1
185.18.250.16,13.774005552075007,-1,208,-1,-1,-1,13.774005552075007,-1,208,-1
185.18.250.17,13.64413187641659,-1,187,-1,-1,-1,13.64413187641659,-1,187,-1
185.18.250.18,15.581496583335108,-1,178,-1,-1,-1,15.581496583335108,-1,178,-1
185.18.250.19,12.647344528023769,-1,176,-1,-1,-1,12.647344528023769,-1,176,-1
185.18.250.20,14.542193656920556,-1,221,-1,-1,-1,14.542193656920556,-1,221,-1
185.18.250.21,13.816825269822258,-1,179,-1,-1,-1,13.816825269822258,-1,179,-1
185.18.250.22,13.898350625510824,-1,176,-1,-1,-1,13.898350625510824,-1,176,-1
185.18.250.23,12.507406534405815,-1,205,-1,-1,-1,12.507406534405815,-1,205,-1
185.18.250.24,12.861179499143542,-1,212,-1,-1,-1,12.861179499143542,-1,212,-1
185.18.250.25,12.796295421265462,-1,250,-1,-1,-1,12.796295421265462,-1,250,-1
185.18.250.26,11.92046765305911,-1,208,-1,-1,-1,11.92046765305911,-1,208,-1
185.18.250.27,9.863096521657239,-1,209,-1,-1,-1,9.863096521657239,-1,209,-1
185.18.250.28,11.715316348327953,-1,188,-1,-1,-1,11.715316348327953,-1,188,-1
185.18.250.29,15.366023973267072,-1,201,-1,-1,-1,15.366023973267072,-1,201,-1
185.18.250.30,15.698710658841462,-1,204,-1,-1,-1,15.698710658841462,-1,204,-1
185.18.250.31,15.336151964858397,-1,247,-1,-1,-1,15.336151964858397,-1,247,-1
185.18.250.32,12.180348451196652,-1,319,-1,-1,-1,12.180348451196652,-1,319,-1
185.18.250.33,13.903261868617387,-1,223,-1,-1,-1,13.903261868617387,-1,223,-1
185.18.250.34,13.236218536181143,-1,248,-1,-1,-1,13.236218536181143,-1,248,-1
185.18.250.35,13.121723023909677,-1,197,-1,-1,-1,13.121723023909677,-1,197,-1
185.18.250.36,11.900932885819628,-1,284,-1,-1,-1,11.900932885819628,-1,284,-1
185.18.250.37,15.000827014231342,-1,204,-1,-1,-1,15.000827014231342,-1,204,-1
185.18.250.38,12.255524311601494,-1,243,-1,-1,-1,12.255524311601494,-1,243,-1
185.18.250.39,11.801955457098545,-1,213,-1,-1,-1,11.801955457098545,-1,213,-1
