ip,avg_download_speed,avg_upload_speed,avg_download_latency,avg_upload_latency,avg_download_jitter,avg_upload_jitter,download_speed_1,upload_speed_1,download_latency_1,upload_latency_1
185.18.250.0,13.392100773773576,-1,239,-1,-1,-1,13.392100773773576,-1,239,-1
185.18.250.1,15.729342993737578,-1,189,-1,-1,-1,15.729342993737578,-1,189,-1
185.18.250.2,10.20511268731015,-1,177,-1,-1,-1,10.20511268731015,-1,177,-1
185.18.250.3,15.09521087152761,-1,180,-1,-1,-1,15.09521087152761,-1,180,-1
185.18.250.4,10.975144618133497,-1,183,-1,-1,-1,10.975144618133497,-1,183,-1
185.18.250.5,14.159154954437874,-1,181,-1,-1,-1,14.159154954437874,-1,181,-1
185.18.250.6,13.676678130935372,-1,206,-1,-1,-1,13.676678130935372,-1,206,-1
185.18.250.7,11.075822617312024,-1,202,-1,-1,-1,11.075822617312024,-1,202,-1
185.18.250.8,12.15590784430111,-1,180,-1,-1,-1,12.15590784430111,-1,180,-1
185.18.250.9,12.921011787077834,-1,175,-1,-1,-1,12.921011787077834,-1,175,-1
185.18.250.10,12.79414089857636,-1,185,-1,-1,-1,12.79414089857636,-1,185,-1
